basin,cnty_abbr,name,prelim_yn,county_name,site,state,latitude,longitude,aqs_id,qa_id,district,met_id,elevation,address,city,zip_code,pm25hourly2016obs 
SJV,SJ,Stockton-Hazelton Street,N,San Joaquin,2094,CA,37.950749999999999,-121.26897,060771002,39252,SJV,SCK07,10,1593 East Hazelton Avenue,Stockton,95205,16008 
SJV,SJ,Tracy-Airport,N,San Joaquin,3696,CA,37.682679999999998,-121.44238,060773005,39271,SJV,,65,5749 S Tracy Blvd,Tracy,95376,7469 
SJV,STA,Modesto-14th Street,N,Stanislaus,2833,CA,37.642164999999999,-120.994212,060990005,50568,SJV,MOD02,33,814 14th Street,Modesto                         ,95354,8522 
SJV,STA,Turlock-S Minaret Street,N,Stanislaus,2996,CA,37.488219999999998,-120.83592,060990006,50573,SJV,TUR04,32,900 South Minaret Street,Turlock                         ,95380,8450 
SJV,TUL,Porterville-1839 Newcomb Street,N,Tulare,3763,CA,36.031790000000001,-119.05504999999999,061072010,10243,SJV,,141,1839 South Newcomb Street                                   ,Porterville                     ,93257,8391 
SJV,TUL,Sequoia and Kings Canyon Natl Park,N,Tulare,3484,CA,36.489429999999999,-118.829138,061070009,54009,SJV,SEQ01,515,Sequoia & Kings Canyon Np,Sequoia National Park,93271,12670 
SJV,TUL,Visalia-N Church Street,N,Tulare,2032,CA,36.332520000000002,-119.29095,061072002,54568,SJV,VIS02,102,310 North Church Street,Visalia                         ,93291,8450 
SS ,IMP,Bombay Beach,Y,Imperial,5407,CA,33.352635999999997,-115.73419199999999,060255501,13601,IMP,,-60,A Street & 3rd Street,Bombay Beach,92257,7757 
SS ,IMP,Calexico-Ethel Street,N,Imperial,3135,CA,32.676180000000002,-115.48307,060250005,13698,IMP,CLX02,3,1029 East Belcher Street,Calexico                        ,92231,8618 
SS ,IMP,Naval Test Base,Y,Imperial,5409,CA,33.169226000000002,-115.85592699999999,060255503,13603,IMP,,-32,,,,7551 
SS ,IMP,Niland-English Road,Y,Imperial,3186,CA,33.213487999999998,-115.545136,060254004,13997,IMP,NIL02,-57,7711 English Road,Niland,92257,7839 
SS ,IMP,Salton City,Y,Imperial,5410,CA,33.272753999999999,-115.900616,060255504,13604,IMP,,-61,,Salton City,92275,6524 
SS ,IMP,Sonny Bono,Y,Imperial,5408,CA,33.176383000000001,-115.62309999999999,060255502,13602,IMP,,-66,906 W. Sinclair Road,Calipatria,92233,6886 
SS ,RIV,Salton Sea Park,Y,Riverside,5406,CA,33.508960000000002,-115.91954,060659502,33602,SC,,-60,100-225 State Park Road,North Shore,92254,147 
SS ,RIV,Torres-Martinez,Y,Riverside,5405,CA,33.518312000000002,-116.07538099999999,060659501,33601,SC,,-63,Lincoln Ave. & 73rd Ave.,Mecca,92254,8098 
SV ,BUT,Chico-East Avenue                       ,N,Butte,3783,CA,39.761679999999998,-121.84047,060070008,04625,BUT,CIC08,68,984 East Avenue                                             ,Chico                           ,95973,8521 
SV ,BUT,Gridley-Cowee Avenue,N,Butte,2630,CA,39.327562999999998,-121.66881100000001,060074001,04636,BUT,GRD01,32,608 Cowee Ave,Gridley                         ,95948,6934 
SV ,BUT,Paradise-Theater                        ,N,Butte,3786,CA,39.77919,-121.59135000000001,060072002,04633,BUT,PRA01,646,6701 Clark Road                                             ,Paradise                        ,95969,7891 
SV ,COL,Colusa-Sunrise Blvd,N,Colusa,2744,CA,39.189190000000004,-121.99887,060111002,06646,COL,COL03,19,100 Sunrise Boulevard,Colusa                          ,95932,8503 
SV ,GLE,Willows-720 N Colusa Street,N,Glenn,3714,CA,39.53387,-122.190834,060210003,11676,GLE,WLW04,45,720 N Colusa Street,Willows                         ,95988,8287 
SV ,PLA,Auburn-11645 Atwood Road                ,N,Placer,3789,CA,38.935679999999998,-121.09959000000001,060610003,31815,PLA,,434,11645 Atwood Street                                         ,Auburn                          ,95603,8691 
SV ,PLA,Lincoln-1445 1st Street,N,Placer,3796,CA,38.885629999999999,-121.30208,060612002,31817,PLA,,47,1445 1st Street,Lincoln                         ,95648,8704 
SV ,PLA,Roseville-N Sunrise Blvd,N,Placer,2956,CA,38.746429999999997,-121.26497999999999,060610006,31822,PLA,ROS02,60,151 North Sunrise Boulevard,Roseville                       ,95661,8375 
SV ,SAC,Elk Grove-Bruceville Road,N,Sacramento,2977,CA,38.30256,-121.42083,060670011,34310,SAC,EGV01,7,12490 Bruceville Road,Elk Grove                       ,95758,8602 
SV ,SAC,Folsom-Natoma Street,N,Sacramento,3187,CA,38.683292999999999,-121.16444199999999,060670012,34311,SAC,FOL02,108,50 Natoma Street,Folsom                          ,95630,16865 
SV ,SAC,Sacramento-Del Paso Manor,N,Sacramento,2731,CA,38.61374,-121.36801,060670006,34295,SAC,SAC14,30,2701 Avalon Drive,Sacramento,95821,8439 
SV ,SAC,Sacramento-T Street,N,Sacramento,3011,CA,38.568440000000002,-121.49311,060670010,34305,SAC,SAC23,15,1309 T Street,Sacramento                      ,95814,8140 
SV ,SAC,Sloughhouse,N,Sacramento,3209,CA,38.494439999999997,-121.21115,060675003,34312,SAC,SLU01,59,7520 Sloughhouse Road,Sloughhouse,95683,8038 
SV ,SHA,Anderson-North Street,Y,Shasta,3032,CA,40.453180000000003,-122.29883,060890007,45567,SHA,AND03,136,2220 North Street,Anderson,96007,8314 
SV ,SOL,Rio Vista-St Francis Way,Y,Solano,5422,CA,38.167274999999997,-121.68841667,,,YS,,10,160 St Francis Way,Rio Vista,94571,8614 
SV ,SOL,Vacaville-Ulatis Drive,Y,Solano,3678,CA,38.356549999999999,-121.94986,060953003,48884,YS,VAC04,33,2012 Ulatis Drive,Vacaville                       ,95687,8594 
SV ,SUT,Yuba City-Almond Street,N,Sutter,2958,CA,39.138680000000001,-121.61884000000001,061010003,51898,FR,YUB03,18,773 Almond Street,Yuba City                       ,95991,8621 
SV ,TEH,Red Bluff-1834 Walnut Street            ,N,Tehama,3816,CA,40.170879999999997,-122.25556,061030007,52903,TEH,,100,1834 Walnut Street                                          ,Red Bluff                       ,96080,8731 
SV ,YOL,Davis-UCD Campus,N,Yolo,2143,CA,38.534550000000003,-121.7734,061130004,57577,YS,DAV07,19,UC Davis campus,Davis                           ,95616,8098 
